dataname,mode,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
munin,n,883.2,16.8,0.5603102072384856,0.5316954400199305,0.5456058203677941,6200.341730499267,1.7748237987151811,21.749818941775132,1.9988156493283715,0.018588071565258477,0.013636071236482486,0.01576857490200023,88.70354017825426,0.21504545341665338
munin1,aL-Re,207.2,3.8,0.6164712396070295,0.2975983849960645,0.4012015535164414,744.7109649658203,3.347486687831965,4.6271500227822004,1.0036697110548314,0.03149225159599029,0.016362806812901944,0.02069170692087265,9.170946491981676,0.8626570521207573
munin1,aS,153.5,3.7,0.7275161209566843,0.5332698661197608,0.6152169450564988,339.2788475751877,2.1953363253111804,7.259059626884648,0.8789701044088157,0.024575684660534582,0.024734849027095513,0.024342761954092476,69.54814819889793,0.5319544734109832
munin1,n,181.4,5.7,0.6054869233056819,0.4511802041697015,0.5169487184401039,309.5110949277878,3.558155520520876,5.277057092315341,0.7757903496864773,0.02095507031659484,0.01999123519022931,0.020260065435557247,7.448455001511739,0.5087920406705128
pathfinder,aL-Re,154.1,1.5,0.7233720156936002,0.23508487730200223,0.3546524613768009,371.5349548578262,2.563055505576975,2.604334506591315,0.602343571209802,0.028889496474346365,0.01174307811503828,0.016046083010342573,10.482961085040104,1.0008852573693072
pathfinder,aS,51.0,3.6363636363636362,0.8898125862769145,0.8184596148035387,0.8525472493843381,202.9920490655032,2.191549071259379,3.2260259819728105,0.847066693638154,0.012190779830136013,0.011233068122917056,0.010205110233968312,12.421934676793216,0.5035731033420112
pathfinder,n,59.1,3.0,0.8814351045263425,0.7746749406825294,0.8244858111849552,197.01688051223755,1.895216109443514,1.9036568318195732,0.8264085618573365,0.011121566618941604,0.008070569723767558,0.006658215213344722,21.18376477241388,0.505435494212351
sachs,aL-Re,12.2,0.0,0.6142857142857142,0.34285714285714286,0.4398268398268398,42.578669691085814,0.0,0.39200000000000007,0.0,0.02100000000000003,0.028000000000000014,0.02884848484848483,1.348020840340027,0.0
sachs,aS,3.4,0.0,0.8825,0.8941666666666667,0.8881451612903225,21.06493029594421,0.0,0.7839999999999999,0.0,0.027134971285532376,0.03303212241305588,0.02788200118872199,0.12322003919654416,0.0
sachs,n,5.2,0.0,0.7375,0.9217948717948719,0.8192118226600986,22.950949668884277,0.0,0.3919999999999999,0.0,0.024500000000000004,0.002512820512820517,0.016413793103448284,1.059845050993231,0.0
survey,aL-Re,4.0,0.0,0.5,0.5,0.5,11.441539669036866,0.0,0.0,0.0,0.0,0.0,0.0,0.33506903972588964,0.0
survey,aS,0.0,0.0,1.0,1.0,1.0,6.09048113822937,0.0,0.0,0.0,0.0,0.0,0.0,0.3031242036500235,0.0
survey,n,3.4,0.8,0.6761904761904762,0.76,0.6654545454545454,5.803332281112671,11.904761904761903,1.4667296956153848,0.7333648478076924,0.28523986007880764,0.12802666388946746,0.14848009689367025,0.2828853586789397,10.641637300925286
water,aL-Re,54.6,8.0,0.5480162973857918,0.3271280235637143,0.4088811507689757,91.29796833992005,23.466324917538895,6.4292780310078355,1.3859292911256331,0.11307082719160283,0.09242006471332878,0.10378593621376282,3.1626809094593002,4.804985660069968
water,aS,18.2,3.2,0.8940465136795209,0.8065234613350689,0.8474665357049302,44.85313420295715,5.67586521011088,5.557559176473068,1.6860557523403548,0.049685672606915116,0.05738949835273686,0.05013166270482556,2.2543262420061003,3.0734742273314675
water,n,41.6,13.8,0.6363245758073345,0.658058403162672,0.6466642424444355,49.115967416763304,22.95894909688013,1.8176292251171575,1.142866571389679,0.02746367696349796,0.03182002344324748,0.0256538409593432,3.3246510861154746,0.9009999876093685
